Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who clicked anywhere in your post. (Unique Users),Lifetime: The number of clicks anywhere in your post. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
171162119680585_812270542236403,https://www.facebook.com/TarletonCOGS/posts/812270542236403,Wondering how to check your application status?  Follow these instructions to access your information. http://www.tarleton.edu/graduate/future/checkappstatus.html,Link,,,6/30/16 12:58 PM, ,157,49,0,232,84,0,5,2,2,0,0,101,60,0,0,5,0,0,0,0,0,0,0,0,0,0
171162119680585_811341748995949,https://www.facebook.com/TarletonCOGS/posts/811341748995949:0,Did you miss last Saturday's open house in Fort Worth?  Our next open house is July 13th in Stephenville.  See you there!,Photo,,,6/30/16 5:52 AM, ,244,235,0,439,408,0,10,4,8,0,0,212,112,0,0,9,0,0,0,0,0,0,0,0,0,0
171162119680585_811295499000574,https://www.facebook.com/TarletonCOGS/posts/811295499000574,How do you ask for a letter of recommendation?  Read tips here.  http://buff.ly/298nuzL,Link,,,6/29/16 5:37 PM, ,157,74,0,253,114,0,9,5,5,0,0,133,84,0,0,6,0,0,0,0,0,0,0,0,0,0
171162119680585_811292315667559,https://www.facebook.com/TarletonCOGS/posts/811292315667559,Check all of your emails in one place!  Forward your go.Tarleton.edu email to your primary account.  Instructions here:  http://buff.ly/295l8RG,Status,,,6/29/16 5:26 AM, ,18,13,0,34,25,0,1,0,0,0,0,25,13,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_811293739000750,https://www.facebook.com/TarletonCOGS/posts/811293739000750,Have you checked out our list of graduate student scholarships?  See it here http://buff.ly/295cthX #tarletongradstudies,Status,,,6/28/16 5:29 PM, ,135,125,0,217,206,0,20,19,19,0,0,207,126,0,0,18,0,0,0,0,0,0,0,0,0,0
171162119680585_811345612328896,https://www.facebook.com/TarletonCOGS/posts/811345612328896,Did you miss Saturday's open house?  Mark your calendars for our next open house  . . . July 13th in Stephenville.  Check out the event page for details and to RSVP.,Link,,,6/28/16 1:53 PM, ,75,56,0,140,117,0,7,5,5,0,0,117,56,0,0,6,0,0,0,0,0,0,0,0,0,0
171162119680585_1759126044310084,https://www.facebook.com/events/1759126044310084/,"What's beyond your bachelor's degree?  Learn more about how a graduate degree can create new career opportunities for you and increase your earnings potential.    Our event will take place in the College of Graduate Studies office on the Stephenville campus on July 13th between 9 a.m. and 4 p.m.  You may drop in at any time, and/or attend our sessions: - Applying to Grad School. 10 a.m. and again at 3 p.m. - Paying for Grad School: Financial Aid & Scholarships. 12 p.m.  (Sessions will also be broadcast virtually from Zoom and Facebook Live.)  RSVP here: http://goo.gl/forms/xbg6T6Pl5K0l87Cz1",Status,,,6/28/16 1:51 PM, ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_811261539003970,https://www.facebook.com/TarletonCOGS/posts/811261539003970,More pictures from last Saturday's open house in Fort Worth!  Feel free to tag yourself! :),Photo,,,6/28/16 9:30 AM, ,56,51,0,97,91,0,8,6,15,0,0,90,51,0,0,8,0,0,0,0,0,0,0,0,0,0
171162119680585_810822019047922,https://www.facebook.com/TarletonCOGS/posts/810822019047922:0,Thanks to all who attended our open house in Fort Worth on Saturday!  What a success!,Photo,,,6/27/16 1:42 PM, ,495,494,0,832,831,0,9,6,10,0,0,313,161,0,0,9,0,0,0,0,0,0,0,0,0,0
