,index,Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length
867,23,171162119680585_807622459367878,https://www.facebook.com/TarletonCOGS/posts/807622459367878:0,Applications for fall admission to the Clinical Mental Health Counseling program are due July 1st.  The program is available at all of our campus locations.  Find out more here:  http://buff.ly/28JGuSd,Photo,,,6/21/16 6:40 AM, ,331,295,0,465,418,0,11,8,14,0,0,279,188,0,0,10,0,0,0,0,0,0,0,0,0,0
868,24,171162119680585_807620319368092,https://www.facebook.com/TarletonCOGS/posts/807620319368092,The $17 sandwich and other important financial lessons for grad students.  http://buff.ly/28Jqpxw,Link,,,6/20/16 5:30 PM, ,436,286,0,687,484,0,23,20,20,0,0,484,286,0,0,21,0,0,0,0,0,0,0,0,0,0
869,25,171162119680585_807687302694727,https://www.facebook.com/TarletonCOGS/posts/807687302694727,Learn more about graduate school at our open house in Fort Worth this Saturday!  https://www.tarleton.edu/scripts/press/display.asp?id=5052,Link,,,6/20/16 11:36 AM, ,213,139,0,323,213,0,5,5,7,0,0,218,142,0,0,4,0,0,0,0,0,0,0,0,0,0
870,26,171162119680585_807613989368725,https://www.facebook.com/TarletonCOGS/posts/807613989368725:0,"We take note of birthdays around here!  Happy Birthday to our wonderful coworker, Brandon Shipman!   Photo and decoration credit: Leah Bartelt",Photo,,,6/20/16 8:00 AM, ,474,397,0,741,643,0,23,19,44,0,0,496,293,0,0,21,0,0,0,0,0,0,0,0,0,0
871,27,171162119680585_804414499688674,https://www.facebook.com/TarletonCOGS/posts/804414499688674:0,Happy Friday!,Photo,,,6/17/16 5:10 PM, ,631,557,0,1191,1088,0,10,5,9,0,0,636,296,0,0,10,0,0,0,0,0,0,0,0,0,0
872,28,171162119680585_805744946222296,https://www.facebook.com/TarletonCOGS/posts/805744946222296,Listen to Dr. Gail Roaten from our Clinical Mental Health Counseling program on Faculty Unscripted.   https://youtu.be/oJ2rEdAQYWo,Link,,,6/17/16 7:55 AM, ,259,180,0,449,332,0,13,8,10,0,0,343,187,0,0,7,0,0,0,0,0,0,0,0,0,0
873,29,171162119680585_804413076355483,https://www.facebook.com/TarletonCOGS/posts/804413076355483,"Thinking about grad school, or know someone who is?  Learn more at our open house, June 25th @TarletonFW. More: http://buff.ly/1S2y0Tv",Link,,,6/17/16 6:05 AM, ,133,129,0,215,210,0,3,1,1,0,0,210,129,0,0,2,0,0,0,0,0,0,0,0,0,0
874,30,171162119680585_804411396355651,https://www.facebook.com/TarletonCOGS/posts/804411396355651,"""Two years from now, spam will be solved."" -Bill Gates (2004). Read other tech predictions that failed to come true. http://buff.ly/1Xjx31c",Link,,,6/16/16 5:59 PM, ,158,158,0,266,266,0,2,2,2,0,0,266,158,0,0,2,0,0,0,0,0,0,0,0,0,0
875,31,171162119680585_805738006222990,https://www.facebook.com/TarletonCOGS/posts/805738006222990,"Graduating this semester?  Congratulations!  Tickets will become available on July 18th.  If you would like your tickets mailed, please submit your information here: http://goo.gl/forms/nGjXNnsQUyMsdxyn2",Link,,,6/16/16 7:21 AM, ,11,11,0,14,14,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0
876,32,171162119680585_804412076355583,https://www.facebook.com/TarletonCOGS/posts/804412076355583,Thanks to all who attended our Financial Awareness Workshop in Waco yesterday!,Status,,,6/16/16 6:00 AM, ,73,73,0,122,122,0,0,0,0,0,0,122,73,0,0,0,0,0,0,0,0,0,0,0,0,0
877,33,171162119680585_804394529690671,https://www.facebook.com/TarletonCOGS/posts/804394529690671:0,"When your friends and family are at the pool or lake, and you're at home in front of your laptop for hours on end . . .",Photo,,,6/15/16 5:14 PM, ,2480,529,0,4213,1092,0,183,120,174,1,1,1045,484,0,0,75,0,0,0,0,0,0,0,0,0,0
878,34,171162119680585_804396113023846,https://www.facebook.com/TarletonCOGS/posts/804396113023846,Bring your lunch and join us for our Financial Awareness Workshop today at Waco!  The session starts at noon and will last approximately 45 minutes.  Find out more here:  http://buff.ly/25Xpuzb,Link,,,6/15/16 6:16 AM, ,5,5,0,13,13,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
879,35,171162119680585_804378903025567,https://www.facebook.com/TarletonCOGS/posts/804378903025567,It's not too late to plan on joining us for our Financial Awareness Workshop tomorrow at Tarleton Waco!  Register now: http://buff.ly/25Xpuzb,Link,,,6/14/16 5:28 PM, ,11,11,0,15,15,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0
880,36,171162119680585_804380876358703,https://www.facebook.com/TarletonCOGS/posts/804380876358703,Take a moment and consider this great career advice from LinkedIn's founder. http://buff.ly/1Ue75bV,Link,,,6/14/16 6:34 AM, ,159,159,0,263,263,0,1,1,1,0,0,262,158,0,0,1,0,0,0,0,0,0,0,0,0,0
881,37,171162119680585_804377416359049,https://www.facebook.com/TarletonCOGS/posts/804377416359049,Stressed in grad school? You're not alone. Read strategies that real grad students use to take their minds off work. http://buff.ly/1PXdklW,Link,,,6/13/16 5:22 PM, ,180,46,0,268,67,0,3,2,2,0,0,66,44,0,0,2,0,0,0,0,0,0,0,0,0,0
882,38,171162119680585_804369386359852,https://www.facebook.com/TarletonCOGS/posts/804369386359852,"**Learn how to make grad school affordable, and sharpen your financial knowledge at our Financial Awareness Workshop this Wednesday at Waco! Current and prospective grad students, as well as faculty and staff are invited.    **Find out more >>>  http://buff.ly/1PXbphb",Status,,,6/13/16 6:48 AM, ,31,13,18,71,17,54,4,4,4,0,0,24,16,7,3,2,0,0,0,0,0,0,0,0,0,0
883,39,171162119680585_801330616663729,https://www.facebook.com/TarletonCOGS/posts/801330616663729:0,Great advice for new and returning grad students alike! http://buff.ly/22JK97H,Photo,,,6/10/16 3:37 PM, ,164,164,0,292,292,0,3,3,3,0,0,292,164,0,0,3,0,0,0,0,0,0,0,0,0,0
884,40,171162119680585_801329316663859,https://www.facebook.com/TarletonCOGS/posts/801329316663859,Zoom Web Conferencing Workshop for Faculty & Staff. Use Zoom and more effectively connect with your audience. More: http://buff.ly/1OaDBMS,Link,,,6/10/16 6:31 AM, ,15,15,0,28,28,0,0,0,0,0,0,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0
885,41,171162119680585_801320699998054,https://www.facebook.com/TarletonCOGS/posts/801320699998054:0,Become a keyboard wizard with these shortcuts.  http://buff.ly/28fIyun,Photo,,,6/9/16 4:59 PM, ,113,113,0,218,218,0,1,1,1,0,0,214,111,0,0,1,0,0,0,0,0,0,0,0,0,0
886,42,171162119680585_801320143331443,https://www.facebook.com/TarletonCOGS/posts/801320143331443,15 Hidden Instagram Hacks & Features.  http://buff.ly/1U9QYgU,Link,,,6/9/16 5:57 AM, ,134,126,0,243,233,0,2,1,1,0,0,229,124,0,0,2,0,0,0,0,0,0,0,0,0,0
887,43,171162119680585_801327743330683,https://www.facebook.com/TarletonCOGS/posts/801327743330683:0,Learn about our graduate programs at our open house on June 25th. More: http://buff.ly/1TRWgtR Tarleton State University - FW,Photo,,,6/8/16 4:23 PM, ,190,190,0,359,359,0,6,4,7,0,0,353,186,0,0,6,0,0,0,0,0,0,0,0,0,0
888,44,171162119680585_801324956664295,https://www.facebook.com/TarletonCOGS/posts/801324956664295,Tarleton's criminology school hosts info fair on master's degree program.  http://buff.ly/213qnTd,Link,,,6/8/16 6:14 AM, ,118,70,0,208,120,0,4,3,3,0,0,116,68,0,0,3,0,0,0,0,0,0,0,0,0,0
889,45,171162119680585_801268313336626,https://www.facebook.com/TarletonCOGS/posts/801268313336626:0,Sharpen your financial knowledge at our Financial Awareness Workshop held at the Waco campus on June 15th.  Learn more here: http://bit.ly/28fpRHq,Photo,,,6/7/16 11:57 AM, ,156,156,0,308,308,0,1,1,1,0,0,302,154,0,0,1,0,0,0,0,0,0,0,0,0,0
