Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who clicked anywhere in your post. (Unique Users),Lifetime: The number of clicks anywhere in your post. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
171162119680585_769068146556643,https://www.facebook.com/TarletonCOGS/posts/769068146556643,Check out this how-to video on finding and registering for Summer and Fall 2016 classes.   https://youtu.be/0fcMYRHEI5Y,Link,,,3/31/16 11:01 AM, ,245,108,0,429,203,0,11,9,9,0,0,238,118,0,0,5,0,0,0,0,0,0,0,0,0,0
171162119680585_768959163234208,https://www.facebook.com/TarletonCOGS/posts/768959163234208,From Free to Inexpensive:  Learn Excel with the 10 Best Resources on the Internet http://buff.ly/1MvSFUj,Link,,,3/31/16 5:07 AM, ,103,103,0,189,189,0,0,0,0,0,0,187,100,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_769047309892060,https://www.facebook.com/TarletonCOGS/posts/769047309892060,Needing some inspiration today?  Listen to these TED talks.  http://buff.ly/1ShkgVV,Link,,,3/30/16 5:30 PM, ,183,153,0,322,279,0,4,4,4,0,0,276,150,0,0,3,0,0,0,0,0,0,0,0,0,0
171162119680585_770484846414973,https://www.facebook.com/TarletonCOGS/posts/770484846414973,Because we all need a little midweek humor . . . How to Photoshop Your Coworkers Into Any Situation.  http://bit.ly/1UUsMA7,Link,,,3/30/16 7:11 AM, ,191,180,0,334,312,0,9,9,9,0,0,322,181,0,0,9,0,0,0,0,0,0,0,0,0,0
171162119680585_769057203224404,https://www.facebook.com/TarletonCOGS/posts/769057203224404,Using Chrome?  Check out these shortcuts.  http://buff.ly/1UXtviG,Link,,,3/30/16 5:44 AM, ,30,30,0,56,56,0,2,1,1,0,0,53,27,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_769012669895524,https://www.facebook.com/TarletonCOGS/posts/769012669895524:0,Timeline Photos,Photo,,,3/29/16 4:50 PM, ,174,174,0,505,505,0,1,0,0,0,0,502,171,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_769816696481788,https://www.facebook.com/TarletonCOGS/posts/769816696481788,"Are you getting an error that says ""No Curricula Available"" when you try to apply for graduation?  If so, contact your program advisor to have a degree plan submitted to our office.",Status,,,3/29/16 10:20 AM, ,13,13,0,26,26,0,0,0,0,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_769001033230021,https://www.facebook.com/TarletonCOGS/posts/769001033230021,How's your week going?  Manage stress in the moment with these 7 tips.  http://buff.ly/1qbuvo9,Link,,,3/29/16 5:25 AM, ,168,168,0,297,297,0,5,5,5,0,0,295,166,0,0,5,0,0,0,0,0,0,0,0,0,0
171162119680585_768955869901204,https://www.facebook.com/TarletonCOGS/posts/768955869901204,How to lead instead of manage.  http://buff.ly/1PAJpca,Link,,,3/28/16 4:04 PM, ,440,220,0,734,384,0,22,18,19,0,0,385,220,0,0,14,0,0,0,0,0,0,0,0,0,0
171162119680585_769207416542716,https://www.facebook.com/TarletonCOGS/posts/769207416542716,"16 Powerful & Motivational Speeches.  If these don't motivate you, you'd better check your pulse.  http://bit.ly/1LV7IqE",Link,,,3/28/16 2:25 PM, ,70,70,0,118,118,0,1,1,1,0,0,116,68,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_768951019901689,https://www.facebook.com/TarletonCOGS/posts/768951019901689,How being authentically you can change your life.  http://bit.ly/1T59oiv,Link,,,3/28/16 9:54 AM, ,157,157,0,278,278,0,6,6,6,1,1,276,155,0,0,6,0,0,0,0,0,0,0,0,0,0
171162119680585_768922326571225,https://www.facebook.com/TarletonCOGS/posts/768922326571225,Registration is open this morning!  Check out our how-to video on finding and registering for classes!  https://t.co/OqE1jaBGeI,Link,,,3/28/16 6:51 AM, ,22,21,0,45,44,0,0,0,0,0,0,43,20,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_766670626796395,https://www.facebook.com/TarletonCOGS/posts/766670626796395,Our next Financial Awareness Workshop will be held on April 5th at Midlothian!  Register here:  https://goo.gl/q63Ef1,Link,,,3/25/16 9:50 AM, ,18,18,0,42,42,0,1,1,1,0,0,40,16,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_1739684386247213,https://www.facebook.com/events/1739684386247213/,"Join us in the next of a series of financial aid and awareness workshops geared toward the needs of prospective and current graduate students. Organized by Tarleton's College of Graduate Studies in partnership with Financial Aid.  The event will be held at noon on April 5, 2016.  You can attend in person in Room 117, or connect with us via Periscope @Tarleton_COGS.",Status,,,3/25/16 9:49 AM, ,3,3,0,16,16,0,1,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_764241967039261,https://www.facebook.com/TarletonCOGS/posts/764241967039261:0,Our offices will close at noon today.  Have a wonderful weekend!,Photo,,,3/25/16 6:28 AM, ,156,153,0,417,410,0,4,3,5,0,0,407,149,0,0,4,0,0,0,0,0,0,0,0,0,0
171162119680585_763697917093666,https://www.facebook.com/TarletonCOGS/posts/763697917093666,"Did you know that you can personalize your Blackboard account?  Check out the ""Personalize"" button in top right corner when you log in.",Status,,,3/24/16 3:47 PM, ,13,13,0,28,28,0,0,0,0,0,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_765855833544541,https://www.facebook.com/TarletonCOGS/videos/765855833544541/,Searching for classes by course number.,Video,,,3/24/16 6:50 AM, ,149,149,0,422,422,0,1,1,1,0,0,415,145,0,0,0,0,0,0,0,14,18,0,0,0,40000
171162119680585_765848093545315,https://www.facebook.com/TarletonCOGS/videos/765848093545315/,Ready for to register for classes on Monday?  Find the classes you need for summer and fall.  View our video for step by step instructions on how to search with the Class Search tool.   Search by Subject,Video,,,3/24/16 6:26 AM, ,209,195,0,564,538,0,12,10,14,0,0,537,193,0,0,10,3,4,0,0,58,62,0,0,0,47000
171162119680585_763696263760498,https://www.facebook.com/TarletonCOGS/posts/763696263760498,We bet there's at least one you've never heard of . . . http://buff.ly/1Rb1Nhc,Link,,,3/24/16 4:40 AM, ,400,190,0,611,328,0,14,12,13,0,0,327,187,0,0,10,0,0,0,0,0,0,0,0,0,0
171162119680585_763689867094471,https://www.facebook.com/TarletonCOGS/posts/763689867094471,25 Master's Degrees with the Highest Salary Potential.  http://buff.ly/1S15PoM,Link,,,3/23/16 4:22 PM, ,291,223,0,478,369,0,30,29,32,0,0,374,226,0,0,28,0,0,0,0,0,0,0,0,0,0
171162119680585_763683873761737,https://www.facebook.com/TarletonCOGS/posts/763683873761737:0,We hope to see our May graduates at today's grad fair!  http://buff.ly/1o2daMI,Photo,,,3/23/16 4:15 AM, ,187,182,0,532,522,0,2,1,2,0,0,522,180,0,0,2,0,0,0,0,0,0,0,0,0,0
171162119680585_763673337096124,https://www.facebook.com/TarletonCOGS/posts/763673337096124:0,Timeline Photos,Photo,,,3/22/16 4:57 PM, ,407,196,0,853,537,0,19,7,10,0,0,557,197,0,0,7,0,0,0,0,0,0,0,0,0,0
171162119680585_764235337039924,https://www.facebook.com/TarletonCOGS/posts/764235337039924,Tomorrow is the Grad Fair!  We hope to see you there!,Link,,,3/22/16 6:03 AM, ,52,51,0,86,85,0,3,3,3,0,0,82,49,0,0,3,0,0,0,0,0,0,0,0,0,0
171162119680585_763594383770686,https://www.facebook.com/TarletonCOGS/posts/763594383770686,Broaden your horizons with a study abroad trip this year.  http://www.tarleton.edu/studyabroad/,Link,,,3/22/16 4:56 AM, ,226,201,0,365,334,0,10,8,12,0,0,330,197,0,0,9,0,0,0,0,0,0,0,0,0,0
171162119680585_763551827108275,https://www.facebook.com/TarletonCOGS/posts/763551827108275:0,Timeline Photos,Photo,,,3/21/16 4:26 PM, ,215,215,0,726,726,0,2,1,2,0,0,721,212,0,0,2,0,0,0,0,0,0,0,0,0,0
171162119680585_763544450442346,https://www.facebook.com/TarletonCOGS/posts/763544450442346:0,Remember the SQ3R method from grade school?  Apply it to grad school reading assignments to increase your comprehension.  http://buff.ly/1UJ9pst,Photo,,,3/21/16 9:12 AM, ,167,167,0,505,505,0,1,1,2,0,0,502,163,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_759682970828494,https://www.facebook.com/TarletonCOGS/posts/759682970828494,Perfect your social skills at one of our business etiquette dinners.  (Organized by Career Services) http://bit.ly/1ppTtQq,Link,,,3/18/16 11:17 AM, ,22,22,0,41,41,0,1,1,1,0,0,38,19,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_761727880624003,https://www.facebook.com/TarletonCOGS/posts/761727940623997,College of Graduate Studies - Tarleton State University's cover photo,Photo,,,3/18/16 6:53 AM, ,0,0,0,0,0,0,33,8,20,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
171162119680585_759679000828891,https://www.facebook.com/TarletonCOGS/posts/759679000828891:0,The 5 Levels of Professional Attire,Photo,,,3/18/16 5:13 AM, ,255,142,0,532,364,0,26,26,31,0,0,362,138,0,0,6,0,0,0,0,0,0,0,0,0,0
171162119680585_761366397326818,https://www.facebook.com/TarletonCOGS/posts/761366397326818:0,What are you doing on April 2nd?,Photo,,,3/17/16 2:07 PM, ,181,146,0,444,380,0,6,4,5,0,0,377,142,0,0,3,0,0,0,0,0,0,0,0,0,0
171162119680585_759676534162471,https://www.facebook.com/TarletonCOGS/posts/759676534162471,Quick link to the thesis/dissertation manual: http://buff.ly/22eBPAw,Link,,,3/17/16 2:05 PM, ,143,139,0,249,244,0,4,2,5,0,0,240,134,0,0,4,0,0,0,0,0,0,0,0,0,0
171162119680585_759675720829219,https://www.facebook.com/TarletonCOGS/posts/759675720829219,"Happy St. Patrick's Day!  More about the history, money, and fun that make up St. Paddy’s Day.  http://buff.ly/1YS2PAf",Link,,,3/17/16 9:44 AM, ,138,131,0,235,227,0,2,1,1,0,0,223,127,0,0,2,0,0,0,0,0,0,0,0,0,0
171162119680585_759658120830979,https://www.facebook.com/TarletonCOGS/posts/759658120830979,The difference between aiming to succeed and trying not to lose.  http://buff.ly/1TIXzja,Link,,,3/17/16 5:48 AM, ,139,132,0,237,226,0,4,2,2,0,0,222,128,0,0,4,0,0,0,0,0,0,0,0,0,0
171162119680585_759642767499181,https://www.facebook.com/TarletonCOGS/posts/759642767499181:0,What does writing do to your brain?,Photo,,,3/16/16 5:15 PM, ,357,176,0,753,451,0,13,7,16,0,0,482,183,0,0,7,0,0,0,0,0,0,0,0,0,0
171162119680585_760724447391013,https://www.facebook.com/TarletonCOGS/posts/760724447391013,Summer/Fall '16 registration begins 3/28/16 for grad students! See classes here: http://bit.ly/1UzN40p,Link,,,3/16/16 11:07 AM, ,22,22,0,35,35,0,1,0,0,0,0,32,19,0,0,1,0,0,0,0,0,0,0,0,0,0
171162119680585_759644300832361,https://www.facebook.com/TarletonCOGS/posts/759644300832361:0,Graduating in May?  Get everything you need for graduation at our first Grad Fair!,Photo,,,3/16/16 10:20 AM, ,285,242,0,713,650,0,10,7,16,0,0,651,241,0,0,7,0,0,0,0,0,0,0,0,0,0
171162119680585_760574734072651,https://www.facebook.com/TarletonCOGS/posts/760574734072651,"""Despite his brilliance, Einstein couldn't secure an academic job after graduation.""  More interesting facts about this genius of our time: http://buff.ly/1Vcd0Qq",Link,,,3/16/16 6:47 AM, ,227,130,0,358,215,0,5,3,4,0,0,216,128,0,0,4,0,0,0,0,0,0,0,0,0,0
171162119680585_759635987499859,https://www.facebook.com/TarletonCOGS/posts/759635987499859:0,Tips for strategic reading.,Photo,,,3/16/16 5:07 AM, ,167,167,0,462,462,0,3,3,7,0,0,459,163,0,0,3,0,0,0,0,0,0,0,0,0,0
171162119680585_759634764166648,https://www.facebook.com/TarletonCOGS/posts/759634764166648,Travel . . . An investment in yourself.  http://buff.ly/22elQCl,Link,,,3/15/16 5:01 PM, ,353,157,0,573,260,0,11,10,10,0,0,293,160,0,0,7,0,0,0,0,0,0,0,0,0,0
171162119680585_760201944109930,https://www.facebook.com/TarletonCOGS/posts/760201944109930:0,It's National Agriculture Day!  Learn more here:  http://www.agday.org/,Photo,,,3/15/16 12:23 PM, ,193,193,0,542,542,0,0,0,0,0,0,539,190,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_759614654168659,https://www.facebook.com/TarletonCOGS/posts/759614654168659,Grow your knowledge with these hobbies that really do make you smarter.  http://buff.ly/1Xqp92F,Link,,,3/15/16 5:15 AM, ,284,265,0,472,443,0,11,10,10,0,0,440,262,0,0,11,0,0,0,0,0,0,0,0,0,0
171162119680585_759609964169128,https://www.facebook.com/TarletonCOGS/posts/759609964169128,Married and going back to school for your master's or doctorate?  Cosider these tips:  http://buff.ly/1WkTBuO,Link,,,3/14/16 5:03 PM, ,321,239,0,539,402,0,16,15,16,0,0,419,246,0,0,14,0,0,0,0,0,0,0,0,0,0
171162119680585_759590594171065,https://www.facebook.com/TarletonCOGS/posts/759590594171065,"Balancing grad school, finances, and family . . . 5 realistic tips!  http://buff.ly/1LmnoTw",Link,,,3/14/16 8:11 AM, ,253,180,0,421,318,0,8,6,10,0,0,324,183,0,0,7,0,0,0,0,0,0,0,0,0,0
171162119680585_756374551159336,https://www.facebook.com/TarletonCOGS/posts/756374551159336,You filled out the FAFSA.  Now what?  http://buff.ly/1U00Bzc,Link,,,3/11/16 9:04 AM, ,21,20,0,45,43,0,0,0,0,0,0,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_756373767826081,https://www.facebook.com/TarletonCOGS/posts/756373767826081:0,Learn about options to pay for grad school on Tarleton's Financial Aid TV.  http://buff.ly/1Rx2JbQ,Photo,,,3/11/16 5:01 AM, ,166,166,0,433,433,0,0,0,0,0,0,429,161,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_756384511158340,https://www.facebook.com/TarletonCOGS/posts/756384511158340,Don't forget!  Our office is closed today (March 11th) for spring break! We will return at 8 a.m. on Monday.,Status,,,3/11/16 4:34 AM, ,18,18,0,36,36,0,0,0,0,0,0,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_756370841159707,https://www.facebook.com/TarletonCOGS/posts/756370841159707:0,Check out our new Master's in Social Work program coming this fall to Tarleton!  http://buff.ly/1nrVREx,Photo,,,3/10/16 5:52 PM, ,157,157,0,397,397,0,0,0,0,0,0,393,153,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_756366981160093,https://www.facebook.com/TarletonCOGS/posts/756366981160093,Avoid mid-semester burnout with these real-life tips.  http://buff.ly/1TF7uGI,Link,,,3/10/16 4:33 AM, ,239,219,0,394,365,0,11,9,10,0,0,364,219,0,0,11,0,0,0,0,0,0,0,0,0,0
171162119680585_756362167827241,https://www.facebook.com/TarletonCOGS/posts/756362167827241:0,Get Six Sigma under your belt with our online master's program in QEM.  http://buff.ly/1X7siUM,Photo,,,3/9/16 5:20 PM, ,183,183,0,491,491,0,2,1,2,0,0,488,180,0,0,2,0,0,0,0,0,0,0,0,0,0
171162119680585_757165024413622,https://www.facebook.com/TarletonCOGS/posts/757165024413622,25 of the Highest Paying Jobs in America.  http://bit.ly/1QDIGL8,Link,,,3/9/16 8:40 AM, ,275,169,0,472,304,0,25,24,26,0,0,332,176,0,0,19,0,0,0,0,0,0,0,0,0,0
171162119680585_756368644493260,https://www.facebook.com/TarletonCOGS/posts/756368644493260:0,When people ask how you're doing at this point in the semester . . .,Photo,,,3/9/16 5:41 AM, ,314,230,0,665,537,0,16,5,6,0,0,544,233,0,0,13,0,0,0,0,0,0,0,0,0,0
171162119680585_756355861161205,https://www.facebook.com/TarletonCOGS/posts/756355861161205:0,What's the next step in your Nursing career?  Advance your skills with a master's degree in Nursing Education or Nursing Administration.  http://buff.ly/1Qy8Kr9,Photo,,,3/8/16 5:54 PM, ,188,188,0,488,488,0,1,1,2,0,0,484,185,0,0,1,0,0,0,0,0,0,0,0,0,0
